Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2025-02-17,288.34,129.97,137.24,54.04,31.43,80.0,-7.08,-27.05,0.0,3.95,0.83,0.79,1.97,1.59,2.02,0.529
2025-02-18,289.49,130.28,137.34,54.03,29.46,80.0,-6.71,-27.05,0.4,4.97,1.23,1.01,2.22,2.02,2.09,0.588
2025-02-19,289.13,130.59,137.44,54.01,24.77,79.65,-6.83,-27.05,-0.12,6.17,-1.14,1.52,1.57,2.07,1.52,0.231
2025-02-20,290.96,130.03,136.8,53.99,17.74,78.1,-6.24,-27.05,0.63,3.56,-4.73,0.04,0.51,0.08,-0.23,-0.348
2025-02-21,279.16,127.81,133.8,54.03,30.77,79.28,-10.04,-27.05,-4.05,-3.18,-8.69,-1.66,-1.73,-2.51,-2.64,-0.972
2025-02-24,270.55,127.17,132.17,54.03,34.38,79.26,-12.82,-27.05,-3.09,-6.17,-8.65,-2.15,-1.93,-3.69,-3.34,-0.966
2025-02-25,262.97,126.58,130.39,54.11,32.18,52.36,-15.26,-27.05,-2.8,-9.16,6.93,-2.84,-0.95,-5.06,-1.63,1.784
2025-02-26,272.62,126.6,130.72,54.14,51.03,44.05,-12.15,-27.05,3.67,-5.71,1.78,-3.06,-1.84,-4.89,-3.34,0.689
2025-02-27,249.51,124.59,127.08,54.66,69.05,51.34,-19.59,-27.05,-8.48,-14.25,-2.87,-4.18,-2.94,-7.1,-5.54,-0.432
2025-02-28,259.42,126.56,129.16,54.49,83.04,53.18,-16.4,-27.05,3.97,-7.07,0.22,-0.98,-1.92,-3.47,-4.24,0.306
2025-03-03,236.86,124.33,125.75,55.17,98.54,60.03,-23.67,-27.05,-8.69,-12.45,-5.01,-2.23,-3.16,-4.86,-6.51,-0.732
2025-03-04,240.87,122.81,125.31,54.75,102.66,59.54,-22.38,-27.05,1.69,-8.4,-0.57,-2.97,-3.61,-3.9,-5.71,0.175
2025-03-05,243.59,124.18,127.14,54.74,95.84,59.37,-21.5,-27.05,1.13,-10.65,-1.14,-1.9,-3.23,-2.74,-5.6,0.059
2025-03-06,229.62,121.97,123.83,54.95,85.75,59.41,-26.01,-27.05,-5.74,-7.97,-11.42,-2.1,-5.33,-2.56,-8.24,-2.152
2025-03-07,234.02,122.64,124.7,54.98,78.38,58.66,-24.59,-27.05,1.92,-9.79,-12.43,-3.1,-5.15,-3.45,-8.06,-2.418
