Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-07-15,43.69,80.54,72.33,,58.66,42.71,-56.1,-59.93,1.3,-0.12,-1.86,-0.93,-1.24,-1.57,-1.34,-0.326
2022-07-16,44.44,80.54,72.33,,44.77,42.9,-55.36,-59.93,1.7,6.11,-1.45,0.23,-1.24,0.7,-1.34,-0.206
2022-07-17,43.57,80.54,72.33,,36.86,42.74,-56.22,-59.93,-1.94,7.53,-1.18,1.16,-1.24,1.67,-1.34,-0.131
2022-07-18,47.15,79.87,71.75,,58.61,51.01,-52.63,-59.93,8.21,11.25,8.44,0.76,-1.78,1.0,-1.43,2.148
2022-07-19,49.05,82.07,73.98,,59.72,51.51,-50.72,-59.93,4.02,13.71,15.33,3.86,3.01,4.11,4.75,3.575
2022-07-20,48.72,82.56,75.15,,64.03,51.44,-51.06,-59.93,-0.67,11.5,15.56,2.5,3.69,3.89,6.44,3.626
2022-07-21,48.58,83.37,76.17,,66.64,50.9,-51.2,-59.93,-0.29,9.32,17.08,3.51,5.64,5.3,9.35,3.971
2022-07-22,47.63,82.59,74.74,,66.64,50.38,-52.14,-59.93,-1.94,9.32,17.88,2.55,3.56,3.33,6.35,4.169
2022-07-23,47.11,82.59,74.74,,36.95,50.73,-52.67,-59.93,-1.1,-0.09,16.75,3.41,3.56,4.17,6.35,3.915
2022-07-24,47.41,82.59,74.74,,15.18,50.7,-52.37,-59.93,0.64,-3.34,17.16,0.63,3.56,1.03,6.35,4.001
2022-07-25,44.8,82.7,74.42,,37.6,52.95,-55.0,-59.93,-5.52,-8.05,5.59,0.18,3.7,-0.97,5.88,1.483
2022-07-26,44.54,81.75,73.03,,37.01,53.01,-55.25,-59.93,-0.57,-8.31,5.2,-1.95,2.34,-4.12,2.12,1.398
2022-07-27,48.09,83.89,76.0,,77.51,59.17,-51.69,-59.93,7.96,0.95,11.59,1.56,4.64,1.68,5.9,2.507
2022-07-28,50.0,84.9,76.82,,80.15,58.01,-49.77,-59.93,3.98,6.14,10.2,2.8,4.35,2.78,4.66,2.285
2022-07-29,49.92,86.11,78.26,,80.77,58.06,-49.85,-59.93,-0.16,5.29,9.54,4.26,5.92,4.7,6.49,2.159
2022-07-30,49.61,86.11,78.26,,60.22,58.05,-50.16,-59.93,-0.62,10.74,9.56,4.12,5.92,5.16,6.49,2.163
2022-07-31,48.94,86.11,78.26,,62.62,56.75,-50.83,-59.93,-1.35,9.87,11.87,5.34,5.92,7.16,6.49,2.644
2022-08-01,48.89,85.87,78.12,,33.2,54.02,-50.88,-59.93,-0.1,1.67,16.74,2.36,6.85,2.8,8.76,3.703
2022-08-02,48.19,85.29,77.99,,10.11,52.67,-51.59,-59.93,-1.44,-3.63,18.91,0.46,7.13,1.53,9.62,4.207
2022-08-03,47.91,86.63,80.01,,9.01,51.1,-51.87,-59.93,-0.57,-4.02,13.03,0.6,9.3,2.24,12.63,3.123
2022-08-04,47.46,86.56,80.34,,8.86,51.2,-52.32,-59.93,-0.94,-4.33,10.02,0.52,9.54,2.66,13.06,2.481
2022-08-05,48.84,86.42,79.95,,27.22,51.82,-50.93,-59.93,2.91,-0.2,11.77,0.36,7.3,2.15,10.52,2.825
2022-08-06,48.15,86.42,79.95,,28.97,52.09,-51.63,-59.93,-1.41,-1.51,8.36,0.64,7.3,2.33,10.52,2.094
2022-08-07,48.6,86.42,79.95,,27.92,51.39,-51.17,-59.93,0.93,0.86,11.53,1.32,7.3,2.5,10.52,2.794
2022-08-08,49.93,86.31,79.86,,31.86,44.11,-49.84,-59.93,2.73,4.21,5.89,-0.36,8.07,-0.19,11.31,1.765
2022-08-09,48.58,85.95,78.91,,39.63,43.13,-51.2,-59.93,-2.71,2.36,-0.96,-0.71,4.72,-1.78,6.67,-0.067
2022-08-10,50.22,87.78,81.19,,41.54,44.6,-49.55,-59.93,3.38,2.83,3.08,1.57,6.32,1.56,8.04,1.026
2022-08-11,50.24,87.71,80.72,,38.3,44.57,-49.53,-59.93,0.04,4.34,3.42,1.5,5.21,0.97,5.97,1.116
2022-08-12,51.17,89.23,82.41,,38.95,44.22,-48.59,-59.93,1.86,5.29,7.43,3.26,8.04,3.08,10.25,2.156
2022-08-13,51.22,89.23,82.41,,36.22,43.91,-48.54,-59.93,0.09,2.58,8.72,3.38,8.04,3.19,10.25,2.495
